Combination,Highest Level of Toleration,Mean,Std Dev
0,N/A,N/A,N/A
1,N/A,N/A,N/A
2,N/A,N/A,N/A
3,N/A,N/A,N/A
4,N/A,N/A,N/A
5,N/A,N/A,N/A
6,N/A,N/A,N/A
8,N/A,N/A,N/A
9,N/A,N/A,N/A
10,N/A,N/A,N/A
12,N/A,N/A,N/A
13,N/A,N/A,N/A
14,N/A,N/A,N/A
16,N/A,N/A,N/A
17,N/A,N/A,N/A
18,N/A,N/A,N/A
20,N/A,N/A,N/A
21,N/A,N/A,N/A
24,N/A,N/A,N/A
28,N/A,N/A,N/A
31,N/A,N/A,N/A
32,N/A,N/A,N/A
33,N/A,N/A,N/A
34,N/A,N/A,N/A
35,N/A,N/A,N/A
36,N/A,N/A,N/A
37,N/A,N/A,N/A
40,N/A,N/A,N/A
41,N/A,N/A,N/A
42,N/A,N/A,N/A
44,N/A,N/A,N/A
45,N/A,N/A,N/A
47,N/A,N/A,N/A
48,N/A,N/A,N/A
49,N/A,N/A,N/A
55,N/A,N/A,N/A
59,N/A,N/A,N/A
61,N/A,N/A,N/A
62,N/A,N/A,N/A
64,N/A,N/A,N/A
65,N/A,N/A,N/A
66,N/A,N/A,N/A
67,N/A,N/A,N/A
68,N/A,N/A,N/A
69,N/A,N/A,N/A
70,N/A,N/A,N/A
71,N/A,N/A,N/A
72,N/A,N/A,N/A
74,N/A,N/A,N/A
76,N/A,N/A,N/A
77,N/A,N/A,N/A
78,N/A,N/A,N/A
80,N/A,N/A,N/A
81,N/A,N/A,N/A
82,N/A,N/A,N/A
84,N/A,N/A,N/A
86,N/A,N/A,N/A
91,N/A,N/A,N/A
92,N/A,N/A,N/A
96,N/A,N/A,N/A
97,N/A,N/A,N/A
98,N/A,N/A,N/A
99,N/A,N/A,N/A
100,N/A,N/A,N/A
101,N/A,N/A,N/A
104,N/A,N/A,N/A
106,N/A,N/A,N/A
108,N/A,N/A,N/A
109,N/A,N/A,N/A
112,N/A,N/A,N/A
116,N/A,N/A,N/A
117,N/A,N/A,N/A
119,N/A,N/A,N/A
123,N/A,N/A,N/A
124,N/A,N/A,N/A
125,N/A,N/A,N/A
126,N/A,N/A,N/A
127,N/A,N/A,N/A
128,N/A,N/A,N/A
129,N/A,N/A,N/A
130,N/A,N/A,N/A
131,N/A,N/A,N/A
132,N/A,N/A,N/A
133,N/A,N/A,N/A
134,N/A,N/A,N/A
136,N/A,N/A,N/A
137,N/A,N/A,N/A
138,N/A,N/A,N/A
140,N/A,N/A,N/A
141,N/A,N/A,N/A
142,N/A,N/A,N/A
144,N/A,N/A,N/A
145,N/A,N/A,N/A
148,N/A,N/A,N/A
155,N/A,N/A,N/A
159,N/A,N/A,N/A
160,N/A,N/A,N/A
161,N/A,N/A,N/A
162,N/A,N/A,N/A
163,N/A,N/A,N/A
164,N/A,N/A,N/A
165,N/A,N/A,N/A
168,N/A,N/A,N/A
169,N/A,N/A,N/A
172,N/A,N/A,N/A
173,N/A,N/A,N/A
182,N/A,N/A,N/A
183,N/A,N/A,N/A
192,N/A,N/A,N/A
193,N/A,N/A,N/A
194,N/A,N/A,N/A
195,N/A,N/A,N/A
196,N/A,N/A,N/A
197,N/A,N/A,N/A
198,N/A,N/A,N/A
199,N/A,N/A,N/A
203,N/A,N/A,N/A
211,N/A,N/A,N/A
212,N/A,N/A,N/A
213,N/A,N/A,N/A
214,N/A,N/A,N/A
215,N/A,N/A,N/A
217,N/A,N/A,N/A
218,N/A,N/A,N/A
221,N/A,N/A,N/A
222,N/A,N/A,N/A
223,N/A,N/A,N/A
224,N/A,N/A,N/A
225,N/A,N/A,N/A
226,N/A,N/A,N/A
227,N/A,N/A,N/A
228,N/A,N/A,N/A
231,N/A,N/A,N/A
237,N/A,N/A,N/A
246,N/A,N/A,N/A
248,N/A,N/A,N/A
249,N/A,N/A,N/A
252,N/A,N/A,N/A
254,N/A,N/A,N/A
256,N/A,N/A,N/A
257,N/A,N/A,N/A
258,N/A,N/A,N/A
259,N/A,N/A,N/A
260,N/A,N/A,N/A
261,N/A,N/A,N/A
262,N/A,N/A,N/A
263,N/A,N/A,N/A
264,N/A,N/A,N/A
265,N/A,N/A,N/A
266,N/A,N/A,N/A
268,N/A,N/A,N/A
269,N/A,N/A,N/A
270,N/A,N/A,N/A
272,N/A,N/A,N/A
273,N/A,N/A,N/A
274,N/A,N/A,N/A
275,N/A,N/A,N/A
276,N/A,N/A,N/A
280,N/A,N/A,N/A
281,N/A,N/A,N/A
285,N/A,N/A,N/A
287,N/A,N/A,N/A
288,N/A,N/A,N/A
289,N/A,N/A,N/A
290,N/A,N/A,N/A
291,N/A,N/A,N/A
293,N/A,N/A,N/A
296,N/A,N/A,N/A
297,N/A,N/A,N/A
298,N/A,N/A,N/A
301,N/A,N/A,N/A
305,N/A,N/A,N/A
310,N/A,N/A,N/A
313,N/A,N/A,N/A
315,N/A,N/A,N/A
317,N/A,N/A,N/A
318,N/A,N/A,N/A
319,N/A,N/A,N/A
320,N/A,N/A,N/A
321,N/A,N/A,N/A
322,N/A,N/A,N/A
323,N/A,N/A,N/A
324,N/A,N/A,N/A
325,N/A,N/A,N/A
326,N/A,N/A,N/A
328,N/A,N/A,N/A
329,N/A,N/A,N/A
330,N/A,N/A,N/A
332,N/A,N/A,N/A
336,N/A,N/A,N/A
339,N/A,N/A,N/A
342,N/A,N/A,N/A
347,N/A,N/A,N/A
348,N/A,N/A,N/A
352,N/A,N/A,N/A
353,N/A,N/A,N/A
354,N/A,N/A,N/A
356,N/A,N/A,N/A
360,N/A,N/A,N/A
361,N/A,N/A,N/A
362,N/A,N/A,N/A
363,N/A,N/A,N/A
364,N/A,N/A,N/A
365,N/A,N/A,N/A
366,N/A,N/A,N/A
369,N/A,N/A,N/A
374,N/A,N/A,N/A
376,N/A,N/A,N/A
377,N/A,N/A,N/A
380,N/A,N/A,N/A
381,N/A,N/A,N/A
384,N/A,N/A,N/A
385,N/A,N/A,N/A
386,N/A,N/A,N/A
387,N/A,N/A,N/A
388,N/A,N/A,N/A
389,N/A,N/A,N/A
390,N/A,N/A,N/A
391,N/A,N/A,N/A
392,N/A,N/A,N/A
393,N/A,N/A,N/A
394,N/A,N/A,N/A
396,N/A,N/A,N/A
398,N/A,N/A,N/A
399,N/A,N/A,N/A
401,N/A,N/A,N/A
403,N/A,N/A,N/A
405,N/A,N/A,N/A
406,N/A,N/A,N/A
407,N/A,N/A,N/A
411,N/A,N/A,N/A
422,N/A,N/A,N/A
429,N/A,N/A,N/A
434,N/A,N/A,N/A
435,N/A,N/A,N/A
436,N/A,N/A,N/A
437,N/A,N/A,N/A
439,N/A,N/A,N/A
440,N/A,N/A,N/A
441,N/A,N/A,N/A
443,N/A,N/A,N/A
444,N/A,N/A,N/A
449,N/A,N/A,N/A
451,N/A,N/A,N/A
452,N/A,N/A,N/A
454,N/A,N/A,N/A
455,N/A,N/A,N/A
462,N/A,N/A,N/A
467,N/A,N/A,N/A
470,N/A,N/A,N/A
471,N/A,N/A,N/A
472,N/A,N/A,N/A
474,N/A,N/A,N/A
475,N/A,N/A,N/A
476,N/A,N/A,N/A
483,N/A,N/A,N/A
488,N/A,N/A,N/A
496,N/A,N/A,N/A
497,N/A,N/A,N/A
498,N/A,N/A,N/A
502,N/A,N/A,N/A
505,N/A,N/A,N/A
508,N/A,N/A,N/A
463,0.17,0.27,2.68646608
115,0.15,0.11,1.094486181
253,0.15,0.04,0.397994975
495,0.15,0.16,1.591979899
468,0.14,0.25,1.762810256
177,0.13,0.51,3.983704306
185,0.13,0.22,2.188972362
251,0.13,0.14,1.392982412
378,0.13,0.09,0.895488693
415,0.13,0.3,2.984962311
501,0.13,0.29,2.031231154
79,0.12,0.19,1.890476131
229,0.12,0.08,0.79598995
314,0.12,0.59,4.145105548
427,0.12,0.02,0.198997487
461,0.12,0.75,5.093868864
478,0.12,0.05,0.497493719
499,0.12,0.05,0.497493719
506,0.12,0.05,0.497493719
94,0.11,0.12,1.193984925
113,0.11,0.37,3.681453517
255,0.11,0.32,2.64907531
311,0.11,0.63,6.268420854
379,0.11,0.46,4.576942211
413,0.11,0.1,0.994987437
423,0.11,0.56,4.205520182
485,0.11,0.3,2.984962311
487,0.11,0.31,2.305189797
121,0.1,0.07,0.696491206
190,0.1,0.46,4.576942211
243,0.1,0.32,3.183959799
250,0.1,0.31,3.084461055
284,0.1,0.42,3.06
302,0.1,0.3,2.984962311
307,0.1,0.94,5.711076956
346,0.1,0.26,2.586967336
351,0.1,0.06,0.596992462
358,0.1,0.3,2.984962311
430,0.1,0.68,4.33561991
445,0.1,0.61,3.585791405
464,0.1,0.36,2.535823338
479,0.1,0.14,1.392982412
489,0.1,0.09,0.895488693
504,0.1,0.2,1.989974874
58,0.09,0.29,2.290392979
147,0.09,0.47,4.676440954
150,0.09,0.42,4.178947236
156,0.09,0.8,4.569463864
189,0.09,0.23,1.927978216
191,0.09,0.4,3.979949748
205,0.09,0.67,4.878637105
233,0.09,0.67,4.878637105
236,0.09,0.07,0.696491206
239,0.09,0.13,1.293483668
286,0.09,0.11,1.094486181
294,0.09,0.53,4.622672387
309,0.09,0.29,2.885463568
338,0.09,0.22,2.188972362
359,0.09,0.4,2.803569154
371,0.09,0.1,0.994987437
373,0.09,0.36,3.581954774
375,0.09,0.06,0.596992462
382,0.09,0.25,2.487468593
402,0.09,0.13,1.293483668
409,0.09,0.34,3.382957286
457,0.09,0.25,2.487468593
466,0.09,0.75,3.444923802
469,0.09,0.39,3.880451005
490,0.09,0.13,1.293483668
493,0.09,0.29,2.885463568
503,0.09,0.5,3.678314832
511,0.09,0.54,3.138216054
89,0.08,0.52,3.067507131
120,0.08,1,6.477653896
146,0.08,0.77,7.661403266
149,0.08,0.27,2.043795489
154,0.08,0.21,2.089473618
158,0.08,1.12,8.021570918
178,0.08,0.67,3.842017699
179,0.08,0.03,0.298496231
184,0.08,0.51,3.576296968
186,0.08,0.79,5.850290591
188,0.08,0.67,6.666415829
206,0.08,0.51,5.074435929
220,0.08,0.51,5.074435929
234,0.08,0.51,5.074435929
245,0.08,0.76,4.673585347
279,0.08,0.74,5.556293729
282,0.08,0.25,1.97673974
295,0.08,0.76,5.960067114
300,0.08,0.23,2.288471105
303,0.08,0.29,2.885463568
345,0.08,0.32,2.89786128
357,0.08,0.23,2.288471105
395,0.08,0.42,3.353147775
408,0.08,0.95,6.695334196
414,0.08,0.08,0.577581163
447,0.08,0.79,4.255102819
453,0.08,0.17,1.691478643
491,0.08,0.08,0.79598995
492,0.08,1.16,7.032382242
494,0.08,0.07,0.696491206
500,0.08,0.39,3.880451005
507,0.08,0.28,2.785964824
509,0.08,0.53,3.188902633
7,0.07,0.31,2.225735833
60,0.07,0.59,3.47590276
63,0.07,0.28,2.785964824
87,0.07,0.7,4.003748244
93,0.07,0.73,5.133916634
118,0.07,0.27,2.68646608
122,0.07,0.59,3.206540192
151,0.07,0.16,1.254750971
153,0.07,0.31,2.356671381
170,0.07,0.22,2.188972362
187,0.07,0.24,2.387969849
201,0.07,0.05,0.497493719
219,0.07,0.3,2.984962311
235,0.07,0.3,2.984962311
242,0.07,0.48,4.391992714
244,0.07,1.22,8.985076516
283,0.07,0.82,8.158896984
299,0.07,0.89,8.181558531
327,0.07,0.08,0.79598995
335,0.07,0.18,1.790977387
383,0.07,0.91,6.133669375
410,0.07,0.65,4.786178016
421,0.07,0.31,1.927148152
428,0.07,0.31,1.927148152
446,0.07,0.35,2.86487347
450,0.07,0.27,2.68646608
456,0.07,1.07,5.430018416
465,0.07,0.31,3.084461055
481,0.07,0.16,1.591979899
482,0.07,0.16,1.591979899
484,0.07,0.35,3.48245603
486,0.07,0.17,1.349481382
23,0.06,0.64,5.620533782
30,0.06,0.67,5.176977883
57,0.06,0.56,5.004637849
103,0.06,0.78,7.760902009
110,0.06,0.11,1.094486181
111,0.06,1.57,7.726907531
157,0.06,0.11,1.094486181
174,0.06,0.26,2.586967336
181,0.06,0.32,2.391150351
207,0.06,0.17,1.691478643
230,0.06,0.39,2.880607575
247,0.06,0.14,1.392982412
306,0.06,0.06,0.596992462
312,0.06,0.57,4.695220975
316,0.06,0.34,3.382957286
333,0.06,0.39,2.982934796
334,0.06,0.75,7.462405778
341,0.06,0.75,7.462405778
343,0.06,0.17,1.691478643
367,0.06,0.68,4.793495593
404,0.06,0.61,4.476371298
431,0.06,0.36,2.961486113
438,0.06,0.78,5.283143004
473,0.06,0.4,2.952964612
477,0.06,1.54,7.246268005
480,0.06,0.63,4.610108459
510,0.06,1.94,10.06957795
29,0.05,0.29,2.885463568
39,0.05,1.03,5.812839237
105,0.05,0.88,5.132796509
135,0.05,0.09,0.895488693
171,0.05,0.19,1.331878373
180,0.05,1.86,9.223903729
210,0.05,1.09,6.204989927
238,0.05,2.22,9.461057023
240,0.05,0.25,2.487468593
308,0.05,0.18,1.790977387
349,0.05,1.58,7.30367031
350,0.05,0.86,7.704570072
355,0.05,0.57,5.671428392
370,0.05,0.54,4.143476801
372,0.05,1.09,5.877235745
397,0.05,0.7,5.028916384
412,0.05,0.55,5.472430904
459,0.05,1.37,6.47248793
43,0.04,0.36,3.293994536
51,0.04,0.77,5.630017762
75,0.04,0.84,4.865634594
90,0.04,0.81,4.170599477
95,0.04,2.17,11.16427785
107,0.04,0.42,3.033743562
114,0.04,0.89,4.619296483
143,0.04,0.3,2.11896201
167,0.04,0.58,4.178947236
175,0.04,0.96,5.562229769
241,0.04,0.78,4.272189134
271,0.04,1.13,6.767059923
292,0.04,0.14,1.392982412
331,0.04,0.1,0.994987437
400,0.04,0.33,3.283458542
416,0.04,0.33,3.283458542
417,0.04,0.7,4.513313639
418,0.04,0.7,4.513313639
419,0.04,1.21,6.369136519
420,0.04,0.67,5.01209537
424,0.04,0.7,4.513313639
425,0.04,0.9,5.622277119
426,0.04,1.21,6.369136519
432,0.04,0.33,3.283458542
433,0.04,0.71,5.010578809
442,0.04,1.26,5.31341698
56,0.03,1.05,6.384943226
73,0.03,0.21,2.089473618
304,0.03,1.16,9.096944542
337,0.03,1.23,9.966799888
340,0.03,0.29,2.885463568
344,0.03,1.87,11.760659
368,0.03,0.46,4.576942211
448,0.03,0.68,4.38150659
458,0.03,0.06,0.596992462
460,0.03,0.06,0.596992462
11,0.02,0.55,3.958219297
15,0.02,5.62,16.24547937
19,0.02,0.21,2.089473618
88,0.02,0.27,2.68646608
139,0.02,0.57,4.622239717
278,0.02,1.48,12.23313533
22,0.01,0.86,8.556891959
38,0.01,0.86,8.556891959
46,0.01,1.57,11.04106426
50,0.01,0.86,8.556891959
52,0.01,0.86,8.556891959
53,0.01,0.86,8.556891959
54,0.01,0.86,8.556891959
102,0.01,1.57,11.04106426
267,0.01,0.64,6.367919597
277,0.01,0.71,6.674271496
25,0,4,0
26,0,4,0
27,0,4,0
83,0,4,0
85,0,4,0
152,0,4,0
166,0,4,0
176,0,4,0
200,0,4,0
202,0,4,0
204,0,4,0
208,0,4,0
209,0,4,0
216,0,4,0
232,0,4,0
